Order_ID,Date,Time_order,Time_checkout,Amount_price,Reservation_ID,Customer_ID,Table_ID
1,2025-04-26,14:00:00,14:30:00,302.6,15.0,BA1583,T31
2,2025-01-11,17:30:00,18:47:00,373.04,99.0,QF9924,T28
3,2025-05-09,16:00:00,17:52:00,113.24,74.0,NZ5365,T25
4,2025-03-25,21:30:00,22:45:00,62.61,,,T12
5,2025-01-28,21:30:00,22:14:00,239.9,85.0,UA5839,T18
6,2025-04-14,16:30:00,17:47:00,91.99,21.0,SQ2917,T10
7,2025-05-17,20:00:00,21:24:00,89.5,74.0,NZ5365,T18
8,2025-03-25,17:30:00,18:59:00,135.47,13.0,KE7499,T20
9,2025-01-29,12:30:00,14:05:00,476.72,88.0,AA5870,T27
10,2025-02-03,23:00:00,00:39:00,69.54,43.0,SQ9336,T1
11,2025-04-20,16:00:00,17:51:00,413.3,82.0,QR4584,T30
12,2025-05-16,19:00:00,19:55:00,179.9,73.0,UA6588,T19
13,2024-12-26,19:30:00,20:46:00,261.35,,KE7499,T27
14,2025-02-02,18:00:00,19:51:00,98.23,,AA7149,T24
15,2025-01-07,11:30:00,12:40:00,167.55,,,T20
16,2025-05-05,12:30:00,14:07:00,67.99,,,T26
17,2025-04-14,18:30:00,19:09:00,79.73,58.0,AM7742,T25
18,2025-03-12,21:00:00,22:41:00,54.58,14.0,EK7825,T2
19,2025-04-11,14:00:00,14:56:00,142.77,24.0,TG5589,T21
20,2024-12-05,16:00:00,17:18:00,185.49,,,T20
21,2024-12-10,22:00:00,22:57:00,177.72,81.0,AA9509,T9
22,2025-04-19,12:00:00,13:07:00,33.54,,,T31
23,2025-03-24,13:00:00,13:55:00,352.0,,SK7967,T22
24,2025-04-29,19:30:00,20:01:00,179.1,62.0,AM8076,T30
25,2025-03-08,12:00:00,13:25:00,390.85,49.0,KE2015,T30
26,2025-04-23,13:30:00,14:15:00,99.52,92.0,KL6524,T8
27,2025-04-03,20:00:00,20:32:00,102.23,18.0,DL5835,T8
28,2024-12-13,16:00:00,17:07:00,355.46,,,T18
29,2025-01-23,20:00:00,21:48:00,66.23,18.0,DL5835,T9
30,2025-01-29,15:00:00,15:55:00,332.79,61.0,SK2434,T30
31,2025-01-22,18:30:00,19:10:00,261.03,,DL4188,T21
32,2025-04-24,17:00:00,18:17:00,273.18,27.0,AI6847,T25
33,2025-05-29,21:00:00,22:34:00,231.82,,AC7816,T18
34,2024-12-31,22:00:00,22:46:00,14.81,,,T21
35,2024-12-14,23:30:00,00:42:00,154.23,,,T26
36,2025-05-21,14:00:00,15:47:00,360.78,87.0,NZ8627,T24
37,2024-12-29,16:00:00,17:19:00,173.16,80.0,KL7528,T10
38,2025-04-02,22:00:00,23:54:00,5.15,,,T14
39,2025-03-02,21:30:00,22:51:00,219.43,38.0,NZ4614,T10
40,2025-05-29,22:30:00,00:24:00,221.34,,,T22
41,2024-12-27,16:00:00,17:15:00,112.27,86.0,AV3764,T19
42,2024-12-23,19:30:00,21:17:00,192.61,78.0,DL9163,T20
43,2025-02-06,14:30:00,16:00:00,283.84,8.0,AA2358,T27
44,2024-12-19,21:30:00,22:47:00,154.05,42.0,AZ1593,T12
