Order_ID;Date_day;Time_order;Time_checkout;Amount_price;Reservation_ID;Customer_ID;Table_ID
1;26.04.2025;14:00:00;14:30:00;302,6;150;BA1583;T31
2;11.01.2025;17:30:00;18:47:00;373,04;990;QF9924;T28
3;09.05.2025;16:00:00;17:52:00;113,24;740;NZ5365;T25
4;25.03.2025;21:30:00;22:45:00;62,61;;;T12
5;28.01.2025;21:30:00;22:14:00;239,9;850;UA5839;T18
6;14.04.2025;16:30:00;17:47:00;91,99;210;SQ2917;T10
7;17.05.2025;20:00:00;21:24:00;89,5;740;NZ5365;T18
8;25.03.2025;17:30:00;18:59:00;135,47;130;KE7499;T20
9;29.01.2025;12:30:00;14:05:00;476,72;880;AA5870;T27
10;03.02.2025;23:00:00;00:39:00;69,54;430;SQ9336;T1
11;20.04.2025;16:00:00;17:51:00;413,3;820;QR4584;T30
12;16.05.2025;19:00:00;19:55:00;179,9;730;UA6588;T19
13;26.12.2024;19:30:00;20:46:00;261,35;;KE7499;T27
14;02.02.2025;18:00:00;19:51:00;98,23;;AA7149;T24
15;07.01.2025;11:30:00;12:40:00;167,55;;;T20
16;05.05.2025;12:30:00;14:07:00;67,99;;;T26
17;14.04.2025;18:30:00;19:09:00;79,73;580;AM7742;T25
18;12.03.2025;21:00:00;22:41:00;54,58;140;EK7825;T2
19;11.04.2025;14:00:00;14:56:00;142,77;240;TG5589;T21
20;05.12.2024;16:00:00;17:18:00;185,49;;;T20
21;10.12.2024;22:00:00;22:57:00;177,72;810;AA9509;T9
22;19.04.2025;12:00:00;13:07:00;33,54;;;T31
23;24.03.2025;13:00:00;13:55:00;352;;SK7967;T22
24;29.04.2025;19:30:00;20:01:00;179,1;620;AM8076;T30
25;08.03.2025;12:00:00;13:25:00;390,85;490;KE2015;T30
26;23.04.2025;13:30:00;14:15:00;99,52;920;KL6524;T8
27;03.04.2025;20:00:00;20:32:00;102,23;180;DL5835;T8
28;13.12.2024;16:00:00;17:07:00;355,46;;;T18
29;23.01.2025;20:00:00;21:48:00;66,23;180;DL5835;T9
30;29.01.2025;15:00:00;15:55:00;332,79;610;SK2434;T30
31;22.01.2025;18:30:00;19:10:00;261,03;;DL4188;T21
32;24.04.2025;17:00:00;18:17:00;273,18;270;AI6847;T25
33;29.05.2025;21:00:00;22:34:00;231,82;;AC7816;T18
34;31.12.2024;22:00:00;22:46:00;14,81;;;T21
35;14.12.2024;23:30:00;00:42:00;154,23;;;T26
36;21.05.2025;14:00:00;15:47:00;360,78;870;NZ8627;T24
37;29.12.2024;16:00:00;17:19:00;173,16;800;KL7528;T10
38;02.04.2025;22:00:00;23:54:00;5,15;;;T14
39;02.03.2025;21:30:00;22:51:00;219,43;380;NZ4614;T10
40;29.05.2025;22:30:00;00:24:00;221,34;;;T22
41;27.12.2024;16:00:00;17:15:00;112,27;860;AV3764;T19
42;23.12.2024;19:30:00;21:17:00;192,61;780;DL9163;T20
43;06.02.2025;14:30:00;16:00:00;283,84;80;AA2358;T27
44;19.12.2024;21:30:00;22:47:00;154,05;420;AZ1593;T12
45;04.05.2025;21:00:00;22:16:00;43,95;790;QR5279;T12
46;25.04.2025;15:30:00;17:00:00;53,16;;UA6219;T16
47;23.01.2025;12:00:00;13:45:00;274,23;;;T29
48;17.05.2025;22:30:00;00:30:00;124,55;940;EK2258;T27
49;10.12.2024;23:00:00;00:26:00;80,85;650;AF9744;T15
50;01.04.2025;23:00:00;00:04:00;336,69;;;T26
51;07.03.2025;14:00:00;14:42:00;29,71;;;T18
52;15.12.2024;21:00:00;22:01:00;174,62;;KL7528;T13
53;29.12.2024;19:00:00;19:41:00;124;340;SA8759;T12
54;12.02.2025;14:00:00;15:40:00;101,48;50;QF4544;T8
55;09.05.2025;16:00:00;17:14:00;232,72;250;LH6321;T17
56;09.03.2025;18:00:00;19:51:00;189,79;890;IB8118;T29
57;24.05.2025;17:00:00;18:51:00;202;780;DL9163;T25
58;21.12.2024;21:00:00;22:12:00;137,32;110;QF9924;T12
59;23.04.2025;18:00:00;18:55:00;298,59;390;SA3890;T31
60;27.02.2025;21:30:00;22:07:00;232,13;810;AA9509;T15
61;15.05.2025;16:00:00;17:24:00;65,59;;KE2015;T30
62;18.01.2025;23:00:00;00:24:00;383,98;;DL9163;T25
63;31.01.2025;14:00:00;15:56:00;219,04;750;UA6565;T9
64;26.12.2024;20:30:00;22:22:00;81,54;600;IB5133;T18
65;10.03.2025;22:00:00;23:26:00;83,8;;;T12
66;03.01.2025;12:30:00;14:15:00;241,15;450;SK2136;T24
67;29.05.2025;11:30:00;13:10:00;45,01;;ET1450;T19
68;27.03.2025;17:00:00;18:40:00;103,16;440;AM2109;T20
69;31.12.2024;17:30:00;18:44:00;352,02;590;SQ6672;T20
70;31.05.2025;15:30:00;17:12:00;238,66;;AM4035;T18
71;02.12.2024;12:00:00;13:27:00;255,75;;;T30
72;08.04.2025;21:00:00;21:41:00;98,47;;NZ4614;T13
73;22.04.2025;14:30:00;15:23:00;271,24;310;AF4268;T31
74;05.01.2025;15:30:00;16:19:00;158,45;30;AA6083;T30
75;12.05.2025;18:30:00;19:40:00;213,84;100;TG4764;T9
76;15.04.2025;20:30:00;22:03:00;64,37;;;T25
77;08.05.2025;21:00:00;22:31:00;109,29;;AF4268;T5
78;04.01.2025;13:30:00;14:26:00;128,6;520;AI9507;T28
79;10.12.2024;11:00:00;12:27:00;294,92;630;BA3445;T22
80;03.01.2025;20:00:00;20:40:00;89,62;930;EK2255;T6
81;08.05.2025;11:00:00;11:30:00;322,83;760;NH8896;T19
82;22.05.2025;18:30:00;19:07:00;75,88;110;QF9924;T14
83;02.12.2024;20:30:00;21:15:00;143;980;AA9509;T29
84;19.01.2025;17:00:00;17:40:00;98,44;680;ET1450;T13
85;24.12.2024;14:00:00;15:44:00;12,25;140;EK7825;T5
86;30.05.2025;19:00:00;20:49:00;166,51;750;UA6565;T17
87;15.12.2024;12:30:00;13:18:00;152,31;680;ET1450;T14
88;22.05.2025;20:00:00;21:41:00;85,27;;AA6867;T21
89;19.03.2025;11:00:00;12:41:00;75,13;670;EK3787;T23
90;19.04.2025;23:00:00;23:40:00;113,55;210;SQ2917;T15
91;14.05.2025;22:00:00;22:50:00;186,32;70;NH5222;T19
92;17.05.2025;19:00:00;19:58:00;38,57;;;T26
93;10.05.2025;21:00:00;22:07:00;73,38;;SK2136;T14
94;01.05.2025;21:30:00;23:22:00;188,92;920;KL6524;T8
95;04.01.2025;19:30:00;21:11:00;456,52;150;BA1583;T29
96;26.12.2024;23:30:00;01:14:00;171,6;860;AV3764;T20
97;04.05.2025;17:00:00;18:07:00;392,98;940;EK2258;T29
98;02.05.2025;17:00:00;18:21:00;251,64;450;SK2136;T22
99;03.01.2025;15:00:00;15:52:00;163,08;640;UA1158;T24
100;07.02.2025;22:00:00;22:51:00;297,79;70;NH5222;T22
101;13.01.2025;18:30:00;19:38:00;257,17;;NH8896;T27
102;11.05.2025;14:00:00;14:32:00;399,1;970;AA3291;T31
